"TELENAME","ALARMLEVEL","DEVICETYPE","CNT"
"12H ",1,6,1
"12H ",1,16,273
"12H ",2,6,4
"12H ",2,16,118
"12H ",2,25,131
"12H ",2,65,69
"12H ",3,6,6
"12H ",3,16,136
"12H ",3,65,8
"A15 ",2,5,3
"A15 ",2,6,12
"A15 ",2,25,70
"A15 ",3,5,12
"A15 ",3,6,21
"A15 ",3,65,6
"A16 ",2,5,3
"A16 ",2,25,67
"A16 ",2,26,6
"A16 ",2,65,1
"A16 ",3,5,12
"A16 ",3,16,12
"A16 ",3,65,14
"A17 ",2,5,3
"A17 ",2,25,142
"A17 ",2,26,46
"A17 ",2,65,4
"A17 ",3,5,12
"A17 ",3,16,16
"A19 ",1,50,22
"A19 ",2,50,142
"A19 ",3,50,210
"A20 ",1,50,25
"A20 ",2,50,136
"A20 ",3,50,98
"A21 ",1,50,45
"A21 ",2,50,94
"A21 ",3,50,781
"A22 ",1,50,50
"A22 ",2,50,34
"A22 ",3,50,10
"A23 ",1,50,47
"A23 ",2,50,35
"A23 ",3,50,36
"A24 ",2,50,4
"A24 ",3,50,36
"A25 ",1,50,20
"A25 ",2,50,20
"A25 ",3,50,17
"AJZ ",2,50,2
"AJZ ",3,50,9
"ALL ",1,50,22
"ALL ",2,50,40
"ALL ",3,50,239
"AXD ",1,24,2
"AXD ",1,50,572
"AXD ",2,50,596
"AXD ",3,50,173
"BDZ ",1,24,2
"BDZ ",1,50,30
"BDZ ",2,50,335
"BDZ ",3,50,122
"BJA ",2,50,141
"BJA ",3,50,161
"BJJ ",1,50,768
"BJJ ",2,50,1556
"BJJ ",3,50,29178
"BJZ ",1,24,2
"BJZ ",1,50,537
"BJZ ",2,50,535
"BJZ ",3,50,8108
"BKF ",2,50,4
"BKF ",3,50,78
"BRF ",2,50,213
"BRF ",3,50,1935
"BSH ",2,50,110
"BSH ",3,50,85
"BSQ ",2,50,12
"BSQ ",3,50,7
"BSZ ",2,50,18
"BSZ ",3,50,21
"BTZ ",2,50,52
"BTZ ",3,50,19
"BXS ",2,5,1
"BXS ",2,6,21
"BXS ",2,16,6
"BXS ",2,25,40
"BXS ",2,65,14
"BXS ",3,3,16
"BXS ",3,5,4
"BXS ",3,6,9
"BXS ",3,16,18
"BXS ",3,65,6
"BYZ ",2,50,160
"BYZ ",3,50,625
"C10 ",1,6,8
"C10 ",1,16,2
"C10 ",2,5,1
"C10 ",2,6,16
"C10 ",2,16,4
"C10 ",2,25,52
"C10 ",2,65,4
"C10 ",3,5,6
"C10 ",3,6,243
"C10 ",3,16,36
"C10 ",3,65,1
"C11 ",1,6,2
"C11 ",1,16,1
"C11 ",2,5,1
"C11 ",2,6,4
"C11 ",2,25,8
"C11 ",2,65,3
"C11 ",3,5,6
"C11 ",3,6,5
"C11 ",3,16,2
"C11 ",3,65,94
"C12 ",1,6,2
"C12 ",1,16,1
"C12 ",2,6,2
"C12 ",2,25,44
"C12 ",2,65,32
"C12 ",3,6,3
"C12 ",3,16,9
"C12 ",3,25,1
"C12 ",3,26,2
"C12 ",3,65,123
"C13 ",2,25,20
"C13 ",2,65,1
"C13 ",3,65,77
"C14 ",1,6,6
"C14 ",2,6,12
"C14 ",2,25,102
"C14 ",3,6,204
"C14 ",3,16,16
"C14 ",3,25,1
"C14 ",3,26,2
"C14 ",3,65,164
"C15 ",1,6,10
"C15 ",1,16,15
"C15 ",2,5,2
"C15 ",2,6,22
"C15 ",2,25,132
"C15 ",3,5,12
"C15 ",3,6,186
"C15 ",3,16,46
"C15 ",3,65,232
"C16 ",1,6,6
"C16 ",1,16,21
"C16 ",2,5,2
"C16 ",2,6,13
"C16 ",2,25,89
"C16 ",3,5,12
"C16 ",3,6,152
"C16 ",3,16,16
"C16 ",3,65,156
"C17 ",1,6,4
"C17 ",2,5,2
"C17 ",2,6,7
"C17 ",2,16,1
"C17 ",2,25,84
"C17 ",2,65,20
"C17 ",3,5,12
"C17 ",3,6,62
"C17 ",3,16,23
"C18 ",1,6,4
"C18 ",2,5,2
"C18 ",2,6,7
"C18 ",2,25,98
"C18 ",2,65,1
"C18 ",3,5,12
"C18 ",3,6,42
"C18 ",3,16,13
"C18 ",3,26,1
"C18 ",3,65,271
"C19 ",1,16,9
"C19 ",2,5,1
"C19 ",2,6,1
"C19 ",2,16,12
"C19 ",2,25,68
"C19 ",2,26,524
"C19 ",2,28,1
"C19 ",2,65,12
"C19 ",3,5,6
"C19 ",3,6,3
"C19 ",3,16,132
"C19 ",3,26,1
"C19 ",3,65,274
"C20 ",1,5,1
"C20 ",1,13,1
"C20 ",1,16,6
"C20 ",2,5,5
"C20 ",2,6,1
"C20 ",2,16,2
"C20 ",2,25,55
"C20 ",2,26,21
"C20 ",2,28,1
"C20 ",2,65,5
"C20 ",3,5,23
"C20 ",3,6,4
"C20 ",3,13,2
"C20 ",3,14,1
"C20 ",3,16,17
"C20 ",3,26,2
"C20 ",3,39,4
"C20 ",3,65,399
"C21 ",1,5,1
"C21 ",1,13,1
"C21 ",1,16,2
"C21 ",2,5,6
"C21 ",2,6,3
"C21 ",2,16,2
"C21 ",2,25,60
"C21 ",2,28,1
"C21 ",3,5,40
"C21 ",3,6,8
"C21 ",3,13,1
"C21 ",3,14,1
"C21 ",3,16,30
"C21 ",3,25,1
"C21 ",3,26,2
"C21 ",3,39,5
"C21 ",3,65,5
"C22 ",1,5,1
"C22 ",1,13,1
"C22 ",2,5,3
"C22 ",2,6,4
