"TELENAME","ALARMTYPE","DEVICETYPE","CNT"
"12H ",50,16,118
"12H ",54,16,273
"12H ",113,6,6
"12H ",113,16,136
"12H ",113,65,8
"12H ",201,25,131
"12H ",210,6,5
"12H ",219,65,69
"A15 ",113,5,12
"A15 ",113,6,21
"A15 ",113,65,6
"A15 ",139,5,3
"A15 ",201,25,70
"A15 ",210,6,12
"A16 ",50,26,6
"A16 ",113,5,12
"A16 ",113,16,12
"A16 ",113,65,14
"A16 ",139,5,3
"A16 ",201,25,67
"A16 ",219,65,1
"A17 ",50,26,46
"A17 ",113,5,12
"A17 ",113,16,16
"A17 ",139,5,3
"A17 ",201,25,142
"A17 ",219,65,4
"A19 ",49,50,54
"A19 ",50,50,2
"A19 ",113,50,207
"A19 ",125,50,3
"A19 ",139,50,3
"A19 ",201,50,19
"A19 ",210,50,61
"A19 ",219,50,3
"A19 ",224,50,22
"A20 ",49,50,90
"A20 ",50,50,3
"A20 ",113,50,94
"A20 ",125,50,4
"A20 ",139,50,3
"A20 ",201,50,21
"A20 ",210,50,15
"A20 ",219,50,4
"A20 ",224,50,25
"A21 ",49,50,6
"A21 ",50,50,2
"A21 ",113,50,713
"A21 ",125,50,68
"A21 ",139,50,5
"A21 ",201,50,30
"A21 ",210,50,50
"A21 ",219,50,1
"A21 ",224,50,45
"A22 ",50,50,3
"A22 ",113,50,10
"A22 ",201,50,29
"A22 ",219,50,2
"A22 ",224,50,50
"A23 ",50,50,1
"A23 ",113,50,36
"A23 ",201,50,32
"A23 ",219,50,2
"A23 ",224,50,47
"A24 ",113,50,17
"A24 ",125,50,19
"A24 ",201,50,4
"A25 ",49,50,5
"A25 ",50,50,1
"A25 ",113,50,17
"A25 ",201,50,13
"A25 ",219,50,1
"A25 ",224,50,20
"AJZ ",88,50,2
"AJZ ",113,50,9
"ALL ",56,50,1
"ALL ",113,50,19
"ALL ",125,50,207
"ALL ",132,50,13
"ALL ",138,50,1
"ALL ",150,50,5
"ALL ",200,50,17
"ALL ",210,50,2
"ALL ",215,50,15
"ALL ",223,50,21
"AXD ",50,50,4
"AXD ",53,50,474
"AXD ",55,50,1
"AXD ",113,50,99
"AXD ",125,50,16
"AXD ",138,50,32
"AXD ",150,50,167
"AXD ",163,24,2
"AXD ",200,50,123
"AXD ",210,50,2
"AXD ",215,50,18
"AXD ",219,50,79
"AXD ",223,50,61
"AXD ",224,50,265
"BDZ ",53,50,21
"BDZ ",84,50,2
"BDZ ",92,50,5
"BDZ ",113,50,41
"BDZ ",124,50,79
"BDZ ",125,50,1
"BDZ ",132,50,1
"BDZ ",133,50,1
"BDZ ",139,50,7
"BDZ ",141,50,1
"BDZ ",150,50,295
"BDZ ",163,24,2
"BDZ ",210,50,9
"BDZ ",219,50,5
"BDZ ",223,50,3
"BDZ ",228,50,16
"BJA ",113,50,158
"BJA ",132,50,3
"BJA ",150,50,141
"BJJ ",49,50,46
"BJJ ",50,50,158
"BJJ ",113,50,29075
"BJJ ",125,50,56
"BJJ ",130,50,10
"BJJ ",132,50,47
"BJJ ",133,50,14
"BJJ ",135,50,13
"BJJ ",136,50,56
"BJJ ",138,50,69
"BJJ ",139,50,10
"BJJ ",140,50,1
"BJJ ",141,50,47
"BJJ ",150,50,181
"BJJ ",200,50,459
"BJJ ",207,50,38
"BJJ ",209,50,87
"BJJ ",210,50,209
"BJJ ",219,50,101
"BJJ ",223,50,448
"BJJ ",224,50,195
"BJJ ",228,50,182
"BJZ ",49,50,68
"BJZ ",84,50,1
"BJZ ",113,50,7990
"BJZ ",125,50,84
"BJZ ",130,50,2
"BJZ ",132,50,34
"BJZ ",133,50,4
"BJZ ",135,50,2
"BJZ ",138,50,462
"BJZ ",139,50,35
"BJZ ",140,50,2
"BJZ ",150,50,96
"BJZ ",162,50,3
"BJZ ",163,24,2
"BJZ ",200,50,48
"BJZ ",210,50,75
"BJZ ",219,50,1
"BJZ ",223,50,132
"BJZ ",224,50,71
"BJZ ",228,50,70
"BKF ",113,50,78
"BKF ",139,50,4
"BRF ",113,50,1918
"BRF ",124,50,3
"BRF ",125,50,2
"BRF ",132,50,12
"BRF ",133,50,18
"BRF ",135,50,2
"BRF ",139,50,32
"BRF ",140,50,9
"BRF ",150,50,57
"BRF ",162,50,8
"BRF ",210,50,60
"BRF ",228,50,27
"BSH ",113,50,83
"BSH ",125,50,2
"BSH ",133,50,6
"BSH ",135,50,2
"BSH ",139,50,12
"BSH ",150,50,66
"BSH ",162,50,5
"BSH ",210,50,19
"BSQ ",113,50,3
"BSQ ",124,50,1
"BSQ ",132,50,3
"BSQ ",133,50,6
"BSQ ",139,50,1
"BSQ ",210,50,5
"BSZ ",113,50,21
"BSZ ",150,50,18
"BTZ ",113,50,17
"BTZ ",124,50,1
"BTZ ",125,50,1
"BTZ ",133,50,3
"BTZ ",139,50,4
"BTZ ",150,50,23
"BTZ ",200,50,15
"BTZ ",210,50,7
"BXS ",50,16,3
"BXS ",113,5,4
"BXS ",113,6,9
"BXS ",113,16,18
"BXS ",113,65,6
"BXS ",132,3,16
"BXS ",139,5,1
"BXS ",154,16,3
"BXS ",201,25,40
"BXS ",210,6,21
"BXS ",219,65,14
"BYZ ",113,50,426
"BYZ ",124,50,3
"BYZ ",125,50,158
"BYZ ",132,50,38
"BYZ ",133,50,12
"BYZ ",139,50,8
"BYZ ",140,50,1
"BYZ ",150,50,107
"BYZ ",162,50,4
"BYZ ",200,50,20
"BYZ ",210,50,2
"BYZ ",228,50,6
"C10 ",50,16,4
"C10 ",54,16,2
"C10 ",113,5,6
"C10 ",113,6,243
"C10 ",113,16,36
"C10 ",113,65,1
"C10 ",139,5,1
"C10 ",201,25,52
"C10 ",210,6,16
"C10 ",219,65,4
"C10 ",237,6,8
"C11 ",54,16,1
"C11 ",113,5,6
"C11 ",113,6,5
"C11 ",113,16,2
"C11 ",113,65,94
"C11 ",139,5,1
"C11 ",201,25,8
"C11 ",210,6,4
"C11 ",219,65,3
"C11 ",237,6,2
"C12 ",54,16,1
"C12 ",113,6,3
"C12 ",113,16,9
"C12 ",113,65,123
"C12 ",125,25,1
"C12 ",125,26,2
"C12 ",201,25,44
"C12 ",210,6,2
"C12 ",219,65,32
"C12 ",237,6,2
"C13 ",113,65,77
"C13 ",201,25,20
"C13 ",219,65,1
"C14 ",113,6,204
"C14 ",113,16,16
"C14 ",113,65,164
"C14 ",125,25,1
"C14 ",125,26,2
"C14 ",201,25,102
"C14 ",210,6,12
"C14 ",237,6,6
"C15 ",54,16,15
"C15 ",113,5,12
"C15 ",113,6,186
"C15 ",113,16,46
"C15 ",113,65,232
"C15 ",139,5,2
"C15 ",201,25,132
"C15 ",210,6,22
"C15 ",237,6,10
"C16 ",54,16,21
"C16 ",113,5,12
"C16 ",113,6,152
"C16 ",113,16,16
"C16 ",113,65,156
"C16 ",139,5,2
"C16 ",201,25,89
"C16 ",210,6,13
"C16 ",237,6,6
"C17 ",50,16,1
"C17 ",113,5,12
"C17 ",113,6,62
"C17 ",113,16,23
"C17 ",139,5,2
"C17 ",201,25,84
"C17 ",210,6,7
"C17 ",219,65,20
"C17 ",237,6,4
"C18 ",113,5,12
"C18 ",113,6,42
"C18 ",113,16,13
"C18 ",113,65,271
"C18 ",125,26,1
"C18 ",139,5,2
"C18 ",201,25,98
"C18 ",210,6,7
"C18 ",219,65,1
"C18 ",237,6,4
"C19 ",50,16,12
"C19 ",50,26,524
"C19 ",54,16,9
"C19 ",113,5,6
"C19 ",113,6,3
"C19 ",113,16,132
"C19 ",113,65,274
"C19 ",125,26,1
"C19 ",136,28,1
"C19 ",139,5,1
"C19 ",201,25,68
"C19 ",210,6,1
"C19 ",219,65,12
"C20 ",50,16,2
"C20 ",50,26,21
"C20 ",54,13,1
"C20 ",54,16,6
"C20 ",67,5,1
"C20 ",113,5,23
"C20 ",113,6,4
"C20 ",113,13,2
"C20 ",113,14,1
"C20 ",113,16,17
"C20 ",113,65,399
"C20 ",124,39,4
"C20 ",125,26,2
"C20 ",136,28,1
"C20 ",139,5,4
"C20 ",140,5,1
"C20 ",201,25,55
"C20 ",210,6,1
"C20 ",219,65,5
"C21 ",50,16,2
"C21 ",54,13,1
"C21 ",54,16,2
"C21 ",67,5,1
"C21 ",113,5,40
"C21 ",113,6,8
"C21 ",113,13,1
"C21 ",113,14,1
"C21 ",113,16,30
"C21 ",113,65,5
"C21 ",124,39,5
"C21 ",125,25,1
"C21 ",125,26,2
"C21 ",136,28,1
"C21 ",139,5,5
"C21 ",140,5,1
"C21 ",201,25,60
"C21 ",210,6,3
"C22 ",54,13,1
"C22 ",67,5,1
"C22 ",113,5,18
"C22 ",113,6,7
"C22 ",113,13,1
"C22 ",113,14,1
"C22 ",113,16,3
"C22 ",113,65,12
"C22 ",125,26,2
"C22 ",139,5,3
"C22 ",201,25,8
"C22 ",210,6,4
"CBH ",50,50,1
"CBH ",113,50,25
"CBH ",124,50,3
"CBH ",125,50,6
"CBH ",132,50,42
"CBH ",135,50,2
"CBH ",150,50,88
"CBH ",210,50,3
"CBZ ",49,50,8
"CBZ ",50,50,48
"CBZ ",113,50,139
"CBZ ",150,50,124
"CBZ ",163,24,1
"CBZ ",200,50,50
"CBZ ",201,50,37
"CBZ ",219,50,9
"CBZ ",223,50,2295
"CDZ ",113,50,388
"CDZ ",124,50,2
"CDZ ",150,50,14
"CDZ ",210,50,7
"CF1 ",50,50,83
"CF1 ",113,50,109
"CF1 ",125,50,2
"CF1 ",139,50,6
"CF1 ",201,50,253
"CF1 ",210,50,25
"CF1 ",219,50,12
"CF2 ",113,50,1
"CF2 ",232,50,2
"CF3 ",50,50,17
"CF3 ",57,50,4
"CF3 ",113,50,61
"CF3 ",201,50,62
"CF3 ",219,50,9
"CF4 ",50,50,200
"CF4 ",113,50,78
"CF4 ",136,50,1
"CF4 ",139,50,5
"CF4 ",140,50,1
"CF4 ",201,50,292
"CF4 ",210,50,2
"CF4 ",219,50,52
"CF5 ",50,50,433
"CF5 ",57,50,16
"CF5 ",113,50,45
"CF5 ",125,50,3
"CF5 ",201,50,339
"CF5 ",210,50,2
"CF5 ",219,50,37
"CF6 ",113,50,129
"CF6 ",139,50,8
"CF6 ",201,50,93
"CF6 ",210,50,46
"CF6 ",219,50,3
"CF7 ",50,50,2
"CF7 ",113,50,208
"CF7 ",139,50,8
"CF7 ",201,50,158
"CF7 ",210,50,32
"CF7 ",219,50,10
"CF7 ",232,50,7
"CFS ",85,50,1
"CFS ",113,50,278
"CFS ",125,50,1
"CFS ",130,50,5
"CFS ",132,50,7
"CFS ",135,50,4
"CFS ",150,50,99
"CFS ",210,50,125
"CFS ",237,50,3
"CG2 ",50,16,2
"CG2 ",50,26,15
"CG2 ",113,5,6
"CG2 ",113,6,17
"CG2 ",113,65,250
"CG2 ",139,5,1
"CG2 ",201,25,35
"CG2 ",210,6,17
"CG2 ",219,65,31
"CG2 ",237,6,8
"CG3 ",50,26,32
"CG3 ",54,16,1
"CG3 ",113,6,135
"CG3 ",113,16,9
"CG3 ",113,65,26
"CG3 ",201,25,30
"CG3 ",210,6,13
"CG3 ",219,65,9
"CG3 ",237,6,6
"CG4 ",113,6,600
"CG4 ",113,16,23
"CG4 ",113,65,50
"CG4 ",125,26,2
"CG4 ",201,25,56
"CG4 ",210,6,21
"CG4 ",219,65,4
"CG4 ",237,6,8
"CG5 ",54,16,2
"CG5 ",113,6,12
"CG5 ",113,16,30
"CG5 ",113,65,9
"CG5 ",201,25,55
"CG5 ",210,6,14
"CG5 ",237,6,6
"CG6 ",54,13,1
"CG6 ",113,6,153
"CG6 ",113,13,1
"CG6 ",113,14,1
"CG6 ",113,16,7
"CG6 ",113,65,14
"CG6 ",201,25,50
"CG6 ",210,6,11
"CG6 ",219,65,6
"CG6 ",237,6,6
"CG7 ",54,13,1
"CG7 ",54,16,10
"CG7 ",113,6,9
"CG7 ",113,13,2
"CG7 ",125,25,1
"CG7 ",125,26,2
"CG7 ",201,25,110
"CG7 ",210,6,17
"CG7 ",219,65,2
"CG7 ",237,6,6
"CG8 ",50,16,1
"CG8 ",113,5,6
"CG8 ",113,6,9
"CG8 ",113,16,15
"CG8 ",113,65,83
"CG8 ",139,5,1
"CG8 ",201,25,33
"CG8 ",210,6,3
"CG8 ",219,65,11
"CG8 ",237,6,2
"CG9 ",113,5,6
"CG9 ",113,6,195
"CG9 ",113,16,24
"CG9 ",113,65,10
"CG9 ",125,26,1
"CG9 ",139,5,1
"CG9 ",201,25,32
"CG9 ",210,6,20
"CG9 ",237,6,8
"CJ1 ",113,50,76
"CJ1 ",124,50,3
"CJ1 ",139,50,8
"CJ1 ",140,50,1
"CJ1 ",201,50,88
"CJ1 ",210,50,7
"CJ1 ",219,50,3
"CJ2 ",113,50,42
"CJ2 ",124,50,4
"CJ2 ",133,50,3
"CJ2 ",139,50,4
