"TELENAME","CNT"
"GL2 ",420
"GYD ",438
"HCB ",558
"GQA ",1320
"SKA ",340
"QCZ ",5728
"ZXZ ",2995
"XCA ",176
"SML ",2849
"TNZ ",3964
"CF3 ",153
"NXW ",382
"ZLY ",3881
"YCS ",1092
"YAS ",2417
"HQS ",1033
"YXC ",5010
"NCZ ",1149
"J34 ",226
"P15 ",619
"PTF ",3472
"PXX ",940
"PHA ",4
"FZZ ",23451
"PYZ ",359
"J32 ",849
"JBZ ",257
"NCB ",799
"ZAZ ",9537
"HGX ",1404
"JIS ",1787
"F11 ",178
"GXB ",884
"C12 ",219
"BJZ ",9182
"LSA ",6435
"JLZ ",4195
"LFZ ",413
"HAF ",1575
"JZ3 ",377
"HYZ ",1577
"CG3 ",261
"GL1 ",498
"F43 ",372
"J29 ",436
"F15 ",593
"ZHB ",122
"XBE ",467
"YQZ ",861
"SCA ",256
"XGN ",161
"A19 ",374
"TMS ",2066
"F40 ",643
"A25 ",57
"P10 ",915
"H35 ",157
"Z4F ",1478
"GS3 ",767
"FNK ",89
"CF4 ",631
"JJF ",880
"MXZ ",329
"AJZ ",11
"LXZ ",627
"C13 ",98
"LMZ ",156
"H29 ",205
"YNX ",208
"DZF ",16
"H26 ",2
"ZJ7 ",206
"LYC ",24
"GS4 ",606
"P22 ",2016
"YES ",439
"GTS ",71
"LL1 ",1165
"HST ",21
"WPZ ",182
"P16 ",915
"J28 ",138
"WYX ",17
"BXS ",135
"H10 ",42
"HXX ",840
"FX7 ",156
"GPY ",46
"H16 ",62
"GS6 ",770
"WTS ",134
"GJD ",106
"XWS ",115
"H25 ",149
"DCS ",61
"BSZ ",39
"DUS ",486
"H33 ",84
"XGS ",258
"HSK ",35
"GBC ",359
"DCK ",112
"CF5 ",875
"A24 ",40
"FCC ",3
"GQC ",10081
"YDJ ",459
"XLS ",1544
"GGX ",1225
"QZF ",3081
"DXQ ",1050
"GL6 ",283
"ZLE ",1496
"DMC ",580
"LCZ ",2240
"YKZ ",1907
"NXC ",12250
"NFZ ",1686
"DCX ",284
"KSZ ",894
"KLZ ",347
"X23 ",877
"RCZ ",243
"J18 ",125
"DXA ",1191
"FQX ",1958
"YZJ ",535
"WYH ",1193
"NDZ ",3150
"RCX ",1681
"QZD ",1355
"SHZ ",1352
"LTA ",1638
"JAX ",827
"THZ ",418
"DGZ ",438
"ZTS ",377
"HJF ",2101
"YTB ",2531
"CTF ",1803
"JFX ",536
"ZAS ",156
"C19 ",1044
"XCC ",44153
"XMF ",2489
"JXN ",1416
"JZ5 ",32
"FDZ ",3308
"JZ4 ",35
"XSX ",117
"K8X ",355
